"CAJERO"|"GCC"|"ENTIDAD"|"OFICINA"|"NOMBRE_CALLE"|"NUMERO"|"COD_POSTAL"|"POBLACION"|"PROVINCIA"|"latitud"|"longitud"|"LIBRETA"|"INGRESO"|"RECIBOS"|"CONTACTLESS"|"TRANS"|"EXTRAER"|"CON_SALDO"|"COSTE_EXTRACCION"|"EXCEPCIONES"
"00079"|1|"3058"|146|"C/ Esmeralda"|1|"04230"|"Huércal de Almería"|"ALMERÍA"|36.887481|-2.444973|0|0|0|0|1|1|1|0|0
"00081"|1|"3058"|305|"Av. Juan Carlos I"|70|"30800"|"Lorca"|"MURCIA"|37.676374|-1.694738|1|0|1|0|1|1|1|0|0
"00083"|1|"3058"|544|"C/ Sol i Padris"|95|"08203"|"Sabadell"|"BARCELONA"|41.5368095|2.11923875|0|0|0|0|0|1|1|0|0
"00086"|1|"3058"|199|"Avda. del Mediterráneo"|0|"04009"|"Almería"|"ALMERÍA"|36.85442|-2.44682|0|0|0|0|0|1|1|0|0
"00087"|1|"3058"|199|"Avda. del Mediterráneo"|0|"04009"|"Almería"|"ALMERÍA"|36.85442|-2.44682|0|0|0|0|0|1|1|0|0
"00088"|1|"3058"|158|"Puerta Purchena"|10|"04004"|"Almería"|"ALMERÍA"|36.841733|-2.464025|1|0|1|1|1|1|1|0|0
"00089"|1|"3058"|332|"C/ Mayor"|48|"30100"|"Espinardo"|"MURCIA"|38.009081|-1.152344|1|0|1|1|1|1|1|0|0
"00090"|1|"3058"|351|"C/ Príncipe Felipe"|4|"30830"|"La Ñora"|"MURCIA"|37.990016|-1.196115|1|0|1|1|1|1|1|0|0
"00092"|1|"3058"|13|"Av. José Barrionuevo Peña"|17|"04760"|"Berja"|"ALMERÍA"|36.841705|-2.94543|1|0|1|1|1|1|1|0|0
"00094"|1|"3058"|8|"C/ Iglesia"|4|"04750"|"Dalías"|"ALMERÍA"|36.820418|-2.870783|1|0|1|1|1|1|1|0|0
"00098"|1|"3058"|538|"C/ Pintor Murillo"|58|"08210"|"Barberá del Vallés"|"BARCELONA"|41.517389|2.1234778|1|0|0|1|1|1|1|0|0
"00100"|1|"3058"|331|"C/ De la Iglesia,esq.C/Dr.José Gil"|0|"30152"|"Aljucer"|"MURCIA"|37.956515|-1.153554|1|1|0|1|1|1|1|0|0
"00101"|1|"3058"|273|"C/ Saavedra Fajardo"|20|"30157"|"Algezares"|"MURCIA"|37.944278|-1.11314|1|0|0|0|1|1|1|0|0
"00102"|1|"3058"|223|"Av. Torrepacheco"|12|"30709"|"Roldán"|"MURCIA"|37.796815|-1.006891|1|0|1|1|1|1|1|0|0
"00106"|1|"3058"|371|"Av. España"|0|"30383"|"Los Nietos"|"MURCIA"|37.652245|-0.791424|1|0|1|1|1|1|1|0|0
"00109"|1|"3058"|159|"Av. Cabo de Gata"|177|"04007"|"Almería"|"ALMERÍA"|36.8252802|-2.4474744|1|0|1|1|1|1|1|0|0
"00110"|1|"3058"|212|"C/ Torre Pacheco"|9|"30708"|"El Jimenado"|"MURCIA"|37.759197|-1.034807|1|0|1|1|1|1|1|0|0
"00111"|1|"3058"|175|"Av. Carlos III"|531|"04720"|"Aguadulce"|"ALMERÍA"|36.815409|-2.5692343|1|0|0|1|1|1|1|0|0
"00113"|1|"3058"|323|"C/ Iberia"|14|"30880"|"Águilas"|"MURCIA"|37.402704|-1.5903749|1|1|0|1|1|1|1|0|0
"00115"|1|"3058"|299|"Av. Pío XII"|1|"30012"|"Murcia"|"MURCIA"|37.971789|-1.1221665|1|0|1|1|1|1|1|0|0
"00116"|1|"3058"|290|"C/ Carmen"|30|"30110"|"Cabezo de Torres"|"MURCIA"|38.025295|-1.125083|1|0|1|1|1|1|1|0|0
"00117"|1|"3058"|349|"C/ Peroniño"|15|"30205"|"Cartagena"|"MURCIA"|37.604677|-0.9962672|1|0|0|0|0|1|1|0|0
"00118"|1|"3058"|199|"Ctra. de Níjar, Km."|14|"04131"|"El Alquián"|"ALMERÍA"|36.851763|-2.31108|0|0|0|1|1|1|1|0|0
"00120"|1|"3058"|354|"C/ Mayor"|65|"30006"|"Puente Tocinos"|"MURCIA"|37.992867|-1.103961|1|0|1|1|1|1|1|0|0
"00121"|1|"3058"|199|"Ctra. Almerimar. C.C. Copo"|15|"04700"|"El Ejido"|"ALMERÍA"|36.752386|-2.806205|0|0|0|1|1|1|1|0|0
"00123"|1|"3058"|361|"C/ Marqués de los Vélez"|36|"30008"|"Murcia"|"MURCIA"|37.996804|-1.1310941|1|0|1|1|1|1|1|0|0
"00127"|1|"3058"|360|"C/ Mayor"|15|"30011"|"Murcia"|"MURCIA"|37.978811|-1.105832|0|0|0|0|0|1|1|0|0
"00141"|1|"3058"|62|"Paseo del Huerto"|9|"04628"|"Antas"|"ALMERÍA"|37.244892|-1.91882|1|0|1|1|1|1|1|0|0
"00146"|1|"3058"|9|"Pl. Constitución"|1|"04760"|"Berja"|"ALMERÍA"|36.846238|-2.949539|0|0|0|0|0|1|1|0|0
"00183"|1|"3058"|257|"Av. de Madrid"|76|"30500"|"Molina de Segura"|"MURCIA"|38.059202|-1.217137|1|0|0|0|0|1|1|0|0
"00186"|1|"3058"|83|"Av. del Puerto"|7|"04740"|"Roquetas de Mar"|"ALMERÍA"|36.7573282|-2.6085515|1|0|1|1|1|1|1|0|0
"00200"|1|"3058"|199|"Av. Mediterráneo - Carrefour"|256|"04006"|"Almería"|"ALMERÍA"|36.841603|-2.444182|0|0|0|0|0|1|1|0|0
"00203"|1|"3058"|199|"Av. Mediterráneo, Esq. Av. Gaviotas"|0|"04740"|"Las Marinas"|"ALMERÍA"|36.732111|-2.618022|1|0|0|0|1|1|1|0|0
"00217"|1|"3058"|117|"C/ San Isidro"|125|"04700"|"El Ejido"|"ALMERÍA"|36.7782541|-2.8179057|1|0|0|0|1|1|1|0|0
"00223"|1|"3058"|92|"Av. Pablo Iglesias,esq.C/San Diego"|0|"04003"|"Almería"|"ALMERÍA"|36.845489|-2.464529|1|0|1|1|1|1|1|0|0
"00233"|1|"3058"|90|"Pl. Párroco José Jiménez"|7|"04700"|"El Ejido"|"ALMERÍA"|36.77494963|-2.8146526|1|0|0|0|1|1|1|0|0
"00234"|1|"3058"|256|"C/ Paseo"|7|"30530"|"Cieza"|"MURCIA"|38.238433|-1.420691|1|0|1|1|1|1|1|0|0
"00267"|1|"3058"|202|"C/ Juan Carlos I"|0|"30840"|"Alhama de Murcia"|"MURCIA"|37.848716|-1.425699|1|0|0|0|0|1|1|0|0
"00276"|1|"3058"|79|"Av. Madrid"|21|"04007"|"Almería"|"ALMERÍA"|36.832743|-2.4492487|1|0|1|1|1|1|1|0|0
"00287"|1|"3058"|201|"C/ Príncipe Alfonso,esq.C/Alporchones"|0|"30800"|"Lorca"|"MURCIA"|37.673705|-1.6987074|1|0|1|1|1|1|1|0|0
"00291"|1|"3058"|66|"Av. Cabo de Gata"|137|"04007"|"Almería"|"ALMERÍA"|36.827399|-2.450069|1|0|1|1|1|1|1|0|0
"00294"|1|"3058"|73|"Ctra. Níjar"|299|"04009"|"Almería"|"ALMERÍA"|36.845898|-2.4401363|1|0|0|0|0|1|1|0|0
"00301"|1|"3058"|77|"Loma La Mezquita"|69|"04700"|"El Ejido"|"ALMERÍA"|36.768585|-2.8208195|1|0|1|1|1|1|1|0|0
"00311"|1|"3058"|200|"Pl. Circular"|17|"30008"|"Murcia"|"MURCIA"|37.992378|-1.1293049|1|0|1|1|1|1|1|0|0
"00315"|1|"3058"|299|"C/ Del Pino"|5|"30870"|"Mazarrón"|"MURCIA"|37.598796|-1.314304|1|0|0|0|1|1|1|0|0
"00325"|1|"3058"|199|"Av. Cabo de Gata"|70|"04007"|"Almería"|"ALMERÍA"|36.8309697|-2.4555413|1|0|0|0|0|1|1|0|0
"00338"|1|"3058"|86|"C/ Calzada de Castro"|50|"04006"|"Almería"|"ALMERÍA"|36.838124|-2.451153|1|0|1|1|1|1|1|0|0
"00356"|1|"3058"|199|"Av. Ntra. Sra. de Montserrat"|11|"04006"|"Almería"|"ALMERÍA"|36.8368548|-2.4552416|1|0|0|1|1|1|1|0|0
"00357"|1|"3058"|248|"Av. Gutiérrez Mellado"|10|"30500"|"Molina de Segura"|"MURCIA"|38.05735|-1.210009|1|0|1|1|1|1|1|0|0
"00373"|1|"3058"|199|"Los Partidores"|0|"04120"|"La Cañada"|"ALMERÍA"|36.841192|-2.424898|0|0|0|0|0|1|1|0|0
"00375"|1|"3058"|35|"Bv. Sta María del Águila,esq. C/Valencia"|0|"04710"|"Santa María del Águila"|"ALMERÍA"|36.779884|-2.77498|1|0|0|0|0|1|1|0|0
"00387"|1|"3058"|97|"C/ Puerto Rico"|2|"04700"|"Santo Domingo"|"ALMERÍA"|36.767923|-2.8016492|1|0|1|1|1|1|1|0|0
"00391"|1|"3058"|98|"C/ Artés de Arcos"|15|"04004"|"Almería"|"ALMERÍA"|36.835473|-2.4587728|1|0|0|0|1|1|1|0|0
"00401"|1|"3058"|119|"C/ Hospital"|18|"04002"|"Almería"|"ALMERÍA"|36.8374219|-2.4689872|1|0|0|0|1|1|1|0|0
"00416"|1|"3058"|199|"Ctra. Almerimar. C.C. Copo"|15|"04700"|"El Ejido"|"ALMERÍA"|36.752386|-2.806205|0|0|0|0|0|1|1|0|0
"00417"|1|"3058"|0|"Paseo de Almería"|75|"04001"|"Almería"|"ALMERÍA"|36.836023|-2.4627615|1|0|0|0|1|1|1|0|0
"00418"|1|"3058"|0|"Paseo de Almería"|75|"04001"|"Almería"|"ALMERÍA"|36.8360237|-2.4627615|1|0|0|1|0|1|1|0|0
"00426"|1|"3058"|130|"Ctra. Sacramento"|0|"04120"|"Almería"|"ALMERÍA"|36.8289006|-2.4038939|1|0|1|0|1|1|1|0|0
"00427"|1|"3058"|130|"Ctra. Sacramento"|0|"04120"|"Almería"|"ALMERÍA"|36.8289006|-2.4038939|1|0|0|1|1|1|1|0|0
"00434"|1|"3058"|76|"Ctra. Granada"|187|"04008"|"Almería"|"ALMERÍA"|36.847609|-2.457519|1|0|1|1|1|1|1|0|0
"00447"|1|"3058"|1|"C/ Natalio Rivas"|19|"04770"|"Adra"|"ALMERÍA"|36.748891|-3.014824|1|0|1|1|1|1|1|0|0
"00460"|1|"3058"|40|"Pl. Constitución"|15|"04740"|"Roquetas de Mar"|"ALMERÍA"|36.764647|-2.61481|1|0|1|1|1|1|1|0|0
"00474"|1|"3058"|210|"C/ Fernando Magallanes"|8|"30594"|"Pozo Estrecho"|"MURCIA"|37.712488|-0.993319|1|0|1|1|1|1|1|0|0
"00485"|1|"3058"|294|"C/ O Shea"|4|"30720"|"Santiago de la Ribera"|"MURCIA"|37.797566|-0.804866|1|0|1|1|1|1|1|0|0
"00495"|1|"3058"|98|"Artés de Arcos"|15|"04004"|"Almería"|"ALMERÍA"|36.835473|-2.4587728|1|0|1|1|1|1|1|0|0
"00518"|1|"3058"|208|"Pl. La Iglesia"|4|"30390"|"La Aljorra"|"MURCIA"|37.690782|-1.071017|1|0|0|0|1|1|1|0|0
"00543"|1|"3058"|121|"Av. Mediterráneo"|250|"04006"|"Almería"|"ALMERÍA"|36.843028|-2.4470999|1|0|1|1|1|1|1|0|0
"00551"|1|"3058"|41|"C/ La Loma"|1|"04712"|"Balerma"|"ALMERÍA"|36.731345|-2.88812|1|0|0|0|1|1|1|0|0
"00564"|1|"3058"|237|"Pl. de la Farola,esq.C/Federico Servet"|0|"30540"|"Blanca"|"MURCIA"|38.179564|-1.376756|0|0|0|0|0|1|1|0|0
"00565"|1|"3058"|301|"Complejo Comercial Las Dunas"|32|"30370"|"Cabo de Palos"|"MURCIA"|37.631618|-0.705121|1|0|1|1|1|1|1|0|0
"00568"|1|"3058"|127|"Paseo de Almería"|25|"04001"|"Almería"|"ALMERÍA"|36.8394701|-2.4633878|1|0|1|1|1|1|1|0|0
"00573"|1|"3058"|299|"C/ Mayor"|20|"30201"|"Cartagena"|"MURCIA"|37.5994072|-0.9857841|1|0|0|0|1|1|1|0|0
"00596"|1|"3058"|36|"Pl. Castillo"|16|"04140"|"Carboneras"|"ALMERÍA"|36.997009|-1.894391|1|0|1|1|1|1|1|0|0
"00597"|1|"3058"|33|"C/ Javier Verdejo"|22|"04009"|"Almería"|"ALMERÍA"|36.849144|-2.4499609|1|0|0|0|0|1|1|0|0
"00634"|1|"3058"|44|"Pl. Constitución"|2|"04230"|"Huércal de Almería"|"ALMERÍA"|36.884435|-2.435961|1|0|0|0|1|1|1|0|0
"00637"|1|"3058"|87|"Av. Boulevard Ciudad de Vícar"|1393|"04738"|"La Puebla de Vícar"|"ALMERÍA"|36.800568|-2.647845|1|0|1|1|1|1|1|0|0
"00643"|1|"3058"|232|"C/ General Valcárcel"|3|"30170"|"Mula"|"MURCIA"|38.03969|-1.488851|1|0|0|0|0|1|1|0|0
"00654"|1|"3058"|54|"C/ Mayor"|122|"04630"|"Garrucha"|"ALMERÍA"|37.18092|-1.82208|1|0|1|1|1|1|1|0|0
"00655"|1|"3058"|199|"Av. Pablo Picasso"|48|"04740"|"Roquetas de Mar"|"ALMERÍA"|36.7628055|-2.6184842|0|0|0|0|1|1|1|0|0
"00665"|1|"3058"|218|"Ctra. Lorca"|0|"30835"|"Sangonera la Seca"|"MURCIA"|37.960906|-1.227658|1|0|0|0|0|1|1|0|0
"00680"|1|"3058"|38|"Ctra. Alicún"|379|"04740"|"El Parador"|"ALMERÍA"|36.807627|-2.598073|1|0|1|1|1|1|1|0|0
"00705"|1|"3058"|230|"Gran Via"|11|"30430"|"Cehegín"|"MURCIA"|38.089728|-1.79573|1|0|1|1|1|1|1|0|0
"00720"|1|"3058"|199|"Hospital Torrecárdenas"|0|"04009"|"Almería"|"ALMERÍA"|36.86295|-2.44088|0|0|0|0|0|1|1|0|0
"00732"|1|"3058"|112|"Av. Juan Carlos I"|9|"04740"|"Roquetas de Mar"|"ALMERÍA"|36.7653843|-2.6131156|1|0|0|0|1|1|1|0|0
"00737"|1|"3058"|206|"Av. Tierno Galván"|1|"30860"|"Puerto Mazarron"|"MURCIA"|37.565365|-1.260907|1|0|0|0|0|1|1|0|0
"00752"|1|"3058"|50|"Boulevard Ciudad de Vícar"|960|"04738"|"Vícar"|"ALMERÍA"|36.8034|-2.631966|1|0|0|0|0|1|1|0|0
"00758"|1|"3058"|123|"C/ Natalio Rivas"|87|"04770"|"Adra"|"ALMERÍA"|36.748112|-3.018744|1|0|0|0|0|1|1|0|0
"00764"|1|"3058"|52|"Ctra. Níjar"|93|"04130"|"El Alquián"|"ALMERÍA"|36.852891|-2.355516|1|0|1|1|1|1|1|0|0
"00765"|1|"3058"|127|"Paseo de Almería"|25|"04001"|"Almería"|"ALMERÍA"|36.8394701|-2.4633878|1|0|1|1|1|1|1|0|0
"00773"|1|"3058"|501|"Av. Matadepera"|54|"08207"|"Sabadell"|"BARCELONA"|41.5655075|2.08978962|0|0|0|0|0|1|1|0|0
"00782"|1|"3058"|250|"Pl. Nuestra Señora de la Oliva"|9|"30580"|"Alquerías"|"MURCIA"|38.015942|-1.036937|1|0|1|1|1|1|1|0|0
"00783"|1|"3058"|500|"C/ Periodista Grané"|176|"08226"|"Terrassa"|"BARCELONA"|41.574217|2.027203|1|0|1|1|1|1|1|0|0
"00792"|1|"3058"|204|"C/ Mably"|0|"30890"|"Puerto Lumbreras"|"MURCIA"|37.561674|-1.809247|1|0|1|1|1|1|1|0|0
"00797"|1|"3058"|295|"Pl. Fuensanta"|0|"30005"|"Murcia"|"MURCIA"|37.989153|-1.132622|1|0|0|0|1|1|1|0|0
"00798"|1|"3058"|7|"Ctra. Málaga"|270|"04700"|"El Ejido"|"ALMERÍA"|36.77301|-2.815289|1|0|1|1|1|1|1|0|0
"00800"|1|"3058"|7|"Ctra. Málaga"|270|"04700"|"El Ejido"|"ALMERÍA"|36.773001|-2.815289|1|1|0|1|1|1|1|0|0
"00808"|1|"3058"|238|"C/ Mayor"|65|"30833"|"Sangonera La Verde"|"MURCIA"|37.932419|-1.208917|1|0|1|1|1|1|1|0|0
"00815"|1|"3058"|21|"Pl. Decididos"|8|"04400"|"Alhama de Almería"|"ALMERÍA"|36.957793|-2.569848|1|0|1|1|1|1|1|0|0
"00840"|1|"3058"|15|"Av. Europa"|124|"04745"|"La Mojonera"|"ALMERÍA"|36.75392|-2.685975|1|0|0|0|0|1|1|0|0
"00847"|1|"3058"|57|"Crta. de la Mojonera"|154|"04716"|"Las Norias de Daza"|"ALMERÍA"|36.759319|-2.753055|1|0|0|0|1|1|1|0|0
"00858"|1|"3058"|67|"Av. Constitución, esq.C/Jardín"|144|"04117"|"San Isidro"|"ALMERÍA"|36.908615|-2.17364|1|0|0|0|1|1|1|0|0
"00859"|1|"3058"|67|"Av. Constitución esq,C/Jardin"|144|"04117"|"San Isidro"|"ALMERÍA"|36.90861|-2.17364|1|0|1|1|1|1|1|0|0
"00864"|1|"3058"|2|"Av. Pío XII"|4|"04800"|"Albox"|"ALMERÍA"|37.387805|-2.145894|1|0|0|0|1|1|1|0|0
"00889"|1|"3058"|24|"C/ Mayor"|5|"04620"|"Vera"|"ALMERÍA"|37.247445|-1.868995|1|0|1|1|1|1|1|0|0
"00893"|1|"3058"|6|"Av. Andalucía"|70|"04640"|"Pulpí"|"ALMERÍA"|37.411775|-1.7449951|1|0|0|0|0|1|1|0|0
"00899"|1|"3058"|25|"C/ Juan Aliaga"|1|"04838"|"María"|"ALMERÍA"|37.711554|-2.165369|0|0|0|0|0|1|1|0|0
"00900"|1|"3058"|524|"Pl. Tetuán"|23|"08009"|"Barcelona"|"BARCELONA"|41.395854|2.174606|1|0|1|1|1|1|1|0|0
"00903"|1|"3058"|215|"Ctra. Lorca"|1|"30880"|"Águilas"|"MURCIA"|37.4084742|-1.5867189|1|0|1|1|1|1|1|0|0
"00916"|1|"3058"|226|"C/ Mayor"|23|"30600"|"Archena"|"MURCIA"|38.114777|-1.299014|1|0|0|1|1|1|1|0|0
"00920"|1|"3058"|531|"Rambla Sant Sebastiá"|36|"08921"|"Santa Coloma de Gramenet"|"BARCELONA"|41.4506269|2.2114844|0|0|0|0|0|1|1|0|0
"00923"|1|"3058"|270|"Pl. de España"|8|"30740"|"San Pedro del Pinatar"|"MURCIA"|37.834502|-0.791829|1|0|1|1|1|1|1|0|0
"00924"|1|"3058"|12|"Camino de Vera"|2|"04110"|"Campohermoso"|"ALMERÍA"|36.93807|-2.131509|1|0|1|1|1|1|1|0|0
"00938"|1|"3058"|265|"C/ Monteazahar"|4|"30570"|"Beniaján"|"MURCIA"|37.973525|-1.0706734|1|0|1|1|1|1|1|0|0
"00942"|1|"3058"|207|"C/ Pino de la Murta"|0|"30180"|"Bullas"|"MURCIA"|38.049761|-1.669163|1|0|0|0|1|1|1|0|0
"00948"|1|"3058"|220|"C/ Alfonso XIII,esq.C/Tirso de Molina"|0|"30203"|"Cartagena"|"MURCIA"|37.6067814|-0.9764436|1|0|1|1|1|1|1|0|0
"00951"|1|"3058"|234|"C/ Méjico"|4|"30310"|"Cartagena"|"MURCIA"|37.6365983|-1.0101078|1|0|0|1|1|1|1|0|0
"00954"|1|"3058"|299|"C/ Brunete"|0|"30300"|"Cartagena"|"MURCIA"|37.626927|-0.983748|0|0|0|0|0|1|1|0|0
"00957"|1|"3058"|239|"Av. Párroco Antonio López Martínez"|6|"30730"|"San Javier"|"MURCIA"|37.806563|-0.835379|1|0|1|1|1|1|1|0|0
"00962"|1|"3058"|205|"C/ General Aznar"|4|"30850"|"Totana"|"MURCIA"|37.769422|-1.502304|1|0|1|1|1|1|1|0|0
"00967"|1|"3058"|231|"Paseo de la Parra"|14|"30880"|"Águilas"|"MURCIA"|37.406667|-1.577407|1|0|1|1|1|1|1|0|0
"00971"|1|"3058"|61|"Ctra. de Níjar"|205|"04120"|"La Cañada"|"ALMERÍA"|36.8403833|-2.4071357|1|0|0|0|1|1|1|0|0
"00990"|1|"3058"|295|"Pl. Fuensanta"|0|"30005"|"Murcia"|"MURCIA"|37.989153|-1.132622|1|0|1|1|1|1|1|0|0
"00993"|1|"3058"|94|"C/ Poeta Paco Aquino,esq.Ctra.Ronda"|0|"04005"|"Almería"|"ALMERÍA"|36.839674|-2.454506|1|0|0|0|1|1|1|0|0
"01001"|1|"3058"|199|"C/ Trajano"|24|"04001"|"Almería"|"ALMERÍA"|36.838049|-2.464951|1|0|0|1|1|1|1|0|0
"01003"|1|"3058"|299|"C/ Del Carmen"|7|"30168"|"Era Alta"|"MURCIA"|37.9658541|-1.1682146|1|0|0|0|0|1|1|0|0
"01004"|1|"3058"|425|"Av. Calvo Sotelo, esq.C/Río Segura"|0|"30130"|"Beniel"|"MURCIA"|38.045201|-1.002631|1|0|1|1|1|1|1|0|0
"01005"|1|"3058"|426|"Av. de la Libertad,esq.C/Luisos"|0|"30710"|"Los Alcázares"|"MURCIA"|37.739068|-0.852309|1|0|1|1|1|1|1|0|0
"01009"|1|"3058"|1907|"C/ Alcalá"|254|"28027"|"Madrid"|"MADRID"|40.432164|-3.654886|1|0|1|1|1|1|1|0|0
"01011"|1|"3058"|769|"C/ Las Pizarras"|40|"29712"|"Viñuela"|"MÁLAGA"|36.866283|-4.143348|1|0|1|1|1|1|1|0|0
"01015"|1|"3058"|1601|"Av. Gran Vía Jaume I"|40|"17001"|"Girona"|"GIRONA"|41.983549|2.8197991|1|0|0|1|1|1|1|0|0
"01017"|1|"3058"|1910|"C/ Libertad"|17|"28100"|"Alcobendas"|"MADRID"|40.540401|-3.634543|1|1|0|1|1|1|1|0|0
"01018"|1|"3058"|1911|"C/ Camilo José Cela"|4|"28230"|"Las Rozas"|"MADRID"|40.51804|-3.897507|1|0|0|0|0|1|1|0|0
"01019"|1|"3058"|1912|"Av. Monforte de Lemos"|107|"28029"|"Madrid"|"MADRID"|40.4788218|-3.7063565|0|0|0|0|0|1|1|0|0
"01020"|1|"3058"|1913|"Pl. del Paraíso"|1|"28340"|"Valdemoro"|"MADRID"|40.19182171|-3.67672923|0|0|0|0|0|1|1|0|0
"01021"|1|"3058"|1914|"Av. Constitución"|2|"28830"|"San Fernando de Henares"|"MADRID"|40.4260438|-3.5335026|1|0|1|1|1|1|1|0|0
"01022"|1|"3058"|1915|"C/ Alcalá"|24|"28014"|"Madrid"|"MADRID"|40.418021|-3.698745|0|0|0|0|0|1|1|0|0
"01023"|1|"3058"|1916|"C/ Arturo Soria"|191|"28043"|"Madrid"|"MADRID"|40.459332|-3.6595767|0|0|0|0|0|1|1|0|0
"01024"|1|"3058"|2901|"C/ Cervantes"|30|"40001"|"Segovia"|"SEGOVIA"|40.9477731|-4.1185761|0|0|0|0|0|1|1|0|0
